Statistic Label,Year,Month,UNIT,VALUE
Dublin Bus passenger,2014,All months,Number,116261991
Dublin Bus passenger,2014,January,Number,8991175
Dublin Bus passenger,2014,February,Number,9117393
Dublin Bus passenger,2014,March,Number,10327497
Dublin Bus passenger,2014,April,Number,9648830
Dublin Bus passenger,2014,May,Number,9439479
Dublin Bus passenger,2014,June,Number,9096253
Dublin Bus passenger,2014,July,Number,9250780
Dublin Bus passenger,2014,August,Number,9348448
Dublin Bus passenger,2014,September,Number,10288409
Dublin Bus passenger,2014,October,Number,10746115
Dublin Bus passenger,2014,November,Number,10545021
Dublin Bus passenger,2014,December,Number,9462591
Dublin Bus passenger,2015,All months,Number,122092555
Dublin Bus passenger,2015,January,Number,9577528
Dublin Bus passenger,2015,February,Number,9596458
Dublin Bus passenger,2015,March,Number,10543380
Dublin Bus passenger,2015,April,Number,10041339
Dublin Bus passenger,2015,May,Number,9371545
Dublin Bus passenger,2015,June,Number,9470674
Dublin Bus passenger,2015,July,Number,10317027
Dublin Bus passenger,2015,August,Number,9537133
Dublin Bus passenger,2015,September,Number,10979884
Dublin Bus passenger,2015,October,Number,11432628
Dublin Bus passenger,2015,November,Number,11052013
Dublin Bus passenger,2015,December,Number,10172946
Dublin Bus passenger,2016,All months,Number,125377353
Dublin Bus passenger,2016,January,Number,9857291
Dublin Bus passenger,2016,February,Number,10700553
Dublin Bus passenger,2016,March,Number,10701987
Dublin Bus passenger,2016,April,Number,11091977
Dublin Bus passenger,2016,May,Number,10825747
Dublin Bus passenger,2016,June,Number,9957220
Dublin Bus passenger,2016,July,Number,10480109
Dublin Bus passenger,2016,August,Number,10243169
Dublin Bus passenger,2016,September,Number,8559909
Dublin Bus passenger,2016,October,Number,11236567
Dublin Bus passenger,2016,November,Number,11318902
Dublin Bus passenger,2016,December,Number,10403922
Dublin Bus passenger,2017,All months,Number,138978139
Dublin Bus passenger,2017,January,Number,10468427
Dublin Bus passenger,2017,February,Number,10718425
Dublin Bus passenger,2017,March,Number,12051139
Dublin Bus passenger,2017,April,Number,10841832
Dublin Bus passenger,2017,May,Number,11771832
Dublin Bus passenger,2017,June,Number,10986482
Dublin Bus passenger,2017,July,Number,11629833
Dublin Bus passenger,2017,August,Number,11342248
Dublin Bus passenger,2017,September,Number,12432529
Dublin Bus passenger,2017,October,Number,12546921
Dublin Bus passenger,2017,November,Number,13024610
Dublin Bus passenger,2017,December,Number,11163861
Dublin Bus passenger,2018,All months,Number,143104484
Dublin Bus passenger,2018,January,Number,11419534
Dublin Bus passenger,2018,February,Number,11279304
Dublin Bus passenger,2018,March,Number,11067489
Dublin Bus passenger,2018,April,Number,12046319
Dublin Bus passenger,2018,May,Number,12737152
Dublin Bus passenger,2018,June,Number,11490525
Dublin Bus passenger,2018,July,Number,12074231
Dublin Bus passenger,2018,August,Number,11679839
Dublin Bus passenger,2018,September,Number,12448501
Dublin Bus passenger,2018,October,Number,13240113
Dublin Bus passenger,2018,November,Number,12765522
Dublin Bus passenger,2018,December,Number,10855955
Dublin Bus passenger,2019,All months,Number,138310980
Dublin Bus passenger,2019,January,Number,11216738
Dublin Bus passenger,2019,February,Number,11107751
Dublin Bus passenger,2019,March,Number,11959588
Dublin Bus passenger,2019,April,Number,11285530
Dublin Bus passenger,2019,May,Number,11811474
Dublin Bus passenger,2019,June,Number,10569888
Dublin Bus passenger,2019,July,Number,11760960
Dublin Bus passenger,2019,August,Number,10931243
Dublin Bus passenger,2019,September,Number,11898080
Dublin Bus passenger,2019,October,Number,12611911
Dublin Bus passenger,2019,November,Number,12239821
Dublin Bus passenger,2019,December,Number,10917996
Dublin Bus passenger,2020,All months,Number,68927428
Dublin Bus passenger,2020,January,Number,11501632
Dublin Bus passenger,2020,February,Number,11510850
Dublin Bus passenger,2020,March,Number,6606702
Dublin Bus passenger,2020,April,Number,1467736
Dublin Bus passenger,2020,May,Number,2192361
Dublin Bus passenger,2020,June,Number,3544895
Dublin Bus passenger,2020,July,Number,5224212
Dublin Bus passenger,2020,August,Number,5418671
Dublin Bus passenger,2020,September,Number,6024417
Dublin Bus passenger,2020,October,Number,5296571
Dublin Bus passenger,2020,November,Number,4449595
Dublin Bus passenger,2020,December,Number,5689784
Dublin Bus passenger,2021,All months,Number,69928511
Dublin Bus passenger,2021,January,Number,2785900
Dublin Bus passenger,2021,February,Number,2921923
Dublin Bus passenger,2021,March,Number,3839607
Dublin Bus passenger,2021,April,Number,4210958
Dublin Bus passenger,2021,May,Number,5284722
Dublin Bus passenger,2021,June,Number,6042584
Dublin Bus passenger,2021,July,Number,6289956
Dublin Bus passenger,2021,August,Number,6480609
Dublin Bus passenger,2021,September,Number,7823189
Dublin Bus passenger,2021,October,Number,8519740
Dublin Bus passenger,2021,November,Number,8549355
Dublin Bus passenger,2021,December,Number,7179968
Dublin Bus passenger,2022,All months,Number,121389639
Dublin Bus passenger,2022,January,Number,7100719.241
Dublin Bus passenger,2022,February,Number,7888541.999
Dublin Bus passenger,2022,March,Number,9368847.436
Dublin Bus passenger,2022,April,Number,9201677.318
Dublin Bus passenger,2022,May,Number,10142950.74
Dublin Bus passenger,2022,June,Number,10046619.72
Dublin Bus passenger,2022,July,Number,10304252.87
Dublin Bus passenger,2022,August,Number,10445063.39
Dublin Bus passenger,2022,September,Number,11650000.94
Dublin Bus passenger,2022,October,Number,12275823.63
Dublin Bus passenger,2022,November,Number,12217747.11
Dublin Bus passenger,2022,December,Number,10747395.06
Dublin Bus passenger,2023,All months,Number,146421312
Dublin Bus passenger,2023,January,Number,11160975
Dublin Bus passenger,2023,February,Number,11273472
Dublin Bus passenger,2023,March,Number,12731323
Dublin Bus passenger,2023,April,Number,11765976
Dublin Bus passenger,2023,May,Number,12744167
Dublin Bus passenger,2023,June,Number,11809487
Dublin Bus passenger,2023,July,Number,11695722
Dublin Bus passenger,2023,August,Number,11786706
Dublin Bus passenger,2023,September,Number,12981362
Dublin Bus passenger,2023,October,Number,13744110
Dublin Bus passenger,2023,November,Number,12915737
Dublin Bus passenger,2023,December,Number,11812274
Dublin Bus passenger,2024,All months,Number,159104579
Dublin Bus passenger,2024,January,Number,12219581
Dublin Bus passenger,2024,February,Number,12888486
Dublin Bus passenger,2024,March,Number,13287864
Dublin Bus passenger,2024,April,Number,13339428
Dublin Bus passenger,2024,May,Number,13709427
Dublin Bus passenger,2024,June,Number,12334313
Dublin Bus passenger,2024,July,Number,12857580
Dublin Bus passenger,2024,August,Number,12726154
Dublin Bus passenger,2024,September,Number,13990348
Dublin Bus passenger,2024,October,Number,14927284
Dublin Bus passenger,2024,November,Number,14225890
Dublin Bus passenger,2024,December,Number,12598224
